이름,일본어명,위도,경도,구,주소,우편번호,요리,계통,가격,전화,예약,미쉐린링크,인스펙터코멘트
Ramenya Toy Box,ラーメン屋 トイ・ボックス,35.731118,139.792083,아라카와구,"1-1-3 Higashinippori, Arakawa-ku",116-0014,라멘,면,¥,+81 3-6458-3664,,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ramenya-toy-box,"The chef’s starting point is the ramen his grandmother cooked for him when he was a child. He added ‘Toy Box’ to the name because he wanted to create ramen that holds the same excitement for his guests as a box of toys does for a child. Soy sauce ramen, the shop’s flagship offering, is constantly tinkered with to improve it. In search of a depth of gustatory experience, over 10 types of soy sauce are combined in the broth. Yet the ramen is a dish of simple happiness; noodles from the good old days."
Hashimoto,はし本,35.709277,139.736306,분쿄구,"2-5-7 Suido, Bunkyo-ku",112-0005,장어,일식,¥,+81 3-3811-4850,가능,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/hashimoto,"The hiragana character ‘u’ (for unagi, ‘eel’) emblazons the lantern hanging outside this old-style detached house, while the fluttering noren proudly proclaims ‘Founded in 1835’. Preserving Hashimoto, a family business in continuous operation since the days of the shogunate, is the sixth-generation chef. Classic Edo-style grilled eel is served, prepared with a tare sauce passed down through generations. While we wait for our ‘Unaju’, broiled eel with rice in a lacquered box, a variety of skewers arrive to delight us, including grilled eel liver, ribs, and fin rich with its flavour."
Ma Poule,マ プール,35.716254,139.757224,분쿄구,"2-19-17 Nishikata, Bunkyo-ku",113-0024,프렌치,유럽,¥¥,+81 3-3868-2518,,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ma-poule,"The chef opened a small restaurant, Ma Poule to celebrate the appeal of Jura, in eastern France. This region, with its beautiful forests, valleys and wetlands and its wonderful ingredients and people, made a profound impression on the chef. Chicken and morels in sauce vin jaune is a Jura dish in which the chef takes great pride. This dish is paired with specially produced yellow wine. The façade and interior, and even proprietress’s clothing, are yellow as well. A restaurant filled with love of Jura."
Watabe,わたべ,35.711314,139.752119,분쿄구,"1-9-14 Koishikawa, Bunkyo-ku",112-0002,장어,일식,¥¥,+81 3-3812-7448,,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/watabe,"Watabe was founded as a fishmonger but morphed into a restaurant when it became known for the delicious eel the owner grilled at his shop. ‘Enma-ju’, which features both shirayaki, eel grilled without seasoning, and kabayaki, eel dipped and broiled in sweet sauce, served over rice in a box, is a tribute to Konnyaku-Enma, a deity enshrined in nearby Genkaku-ji Temple. In the evening, the menu takes on a distinctly French cast, with items such as terrine of kabayaki and foie gras and smoked eel with Brie de Meaux cheese. Eel cuisine Watabe style, with foundations in French cuisine, is the aim here."
wokotote,をことて,35.720302,139.763506,분쿄구,"2-35-1 Nezu, Bunkyo-ku",113-0031,일식,일식,¥¥,+81 3-5834-2144,가능,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/wokotote,"The chef studied the art of kaiseki multi-course meals. In addition to omakase set meals, he serves prix fixe meals to which à la carte items can be added, so diners can enjoy Japanese cuisine as they please. Sashimi is accompanied by a dipping sauce of malted rice and fish sauce; mixed platters of drinking snacks include grilled and fried items prepared with care. The shop name is inspired by grammatical particles used to form sentences in Japanese. Cuisine, people, drinks and interior blend agreeably together, so relax and let time flow by."
Biriyani Osawa,ビリヤニ大澤,35.69221,139.76607,지요다구,"B1F, 1-15-12 Uchikanda, Chiyoda-ku",101-0047,인도,아시아,¥,+81 3-6687-9853,가능,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/biriyani-osawa,"Once served in royal courts, biryani later became a beloved dish among the public. This rice dish, cooked with spices and various ingredients, is the restaurant’s sole offering—made with either mutton or chicken. The basmati rice is richly fragrant, with distinct, separate grains. Oil is used sparingly, to bring the umami of the ingredients and the flavours of the spices to the fore. Meal preparation is carefully timed so the biryani finishes cooking just as all guests are seated, ensuring everyone enjoys it in all its fresh-from-the-pot deliciousness. Passion and spirit imbue every dish."
SANTOSHAM,三燈舎,35.694763,139.762667,지요다구,"2F, 3-2 Kandaogawamachi, Chiyoda-ku",101-0052,인도,아시아,¥,+81 50-3697-2547,가능,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/santosham,"The cuisine of Kerala, a state on India’s southwest coast, takes the limelight here. The owner-couple, along with a chef from Kerala, are consummate ambassadors for the appeal of this culinary discipline. The sweetness of coconut, the pungency of curry leaves and the flavour of black pepper are standout features. Kerala is a coastal state, so seafood features prominently. Santosham means ‘happiness’ in the Malayalam language; the name is a prayer that good food and happiness will go hand in hand here."
ARROCERÍA La Panza,アロセリア ラ パンサ,35.673366,139.770106,주오구,"1-15-8 Ginza, Chuo-ku",104-0061,스페인,유럽,¥¥,+81 3-6228-6793,가능,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/arroceria-la-panza,"This restaurant specialises in Spanish rice cuisine. Sample rice dishes from every region of Spain: paella, said to be from Valencia; clams and rice cooked in a clay pot, from Basque Country; and caldero, rice simmered in an iron pot, from Mar Menor. Gathering around a table and sharing the same pot captures the joy of Spanish food culture. The range of appetisers, including dry-cured ham and tapas, is impressive. ‘Panza’ means ‘pot belly’, and you’re sure to leave satisfied in both stomach and soul."
Bistrot Vivienne,ビストロ ヴィヴィエンヌ,35.669678,139.768817,주오구,"4-13-19 Ginza, Chuo-ku",104-0061,프렌치,유럽,¥¥,+81 3-6273-2830,,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/bistrot-vivienne,"A bistro run by a sommelier and chef. Keen to impart a sense of everyday life in France, the partners focus on charcuterie and hometown cooking. Populating the menu are delights such as cassoulet, quenelle and beef cheek simmered in wine. Respecting the classics, dishes baked in pie pastry are also included. In keeping with the regional tenor of the bistro, wines of every region are here for the asking; pair them with dishes of the same region for the consummate mariage."
Chukasoba Ginza Hachigou,中華そば 銀座 八五,35.670563,139.770185,주오구,"3-14-2 Ginza, Chuo-ku",104-0061,라멘,면,¥,,가능,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/chukasoba-ginza-hachigo,"Aiming to provide a full-course meal in a bowl, the chef infuses Chinese soba with his experience in French cuisine for a unique touch. Most revolutionary is the absence of sauce. The soup is crafted by extracting flavours as if for a consommé and then perfectly balancing them with the saltiness of cured ham. The wontons are filled with a paste of foie gras and truffles. He combines all the Western ingredients he has mastered over the years into a single bowl."
